GrainName,State,City,Months,Year,Sales
Ragi,Maharashtra,Nagpur,JAN,2023,1000000
Bajra,Panjab,Amritsar,FEB,2023,1500000
Ragi,Maharashtra,Nagpur,JAN,2023,1000000
Bajra,Panjab,Amritsar,FEB,2023,1500000
Ragi,Maharashtra,Nagpur,JAN,2023,1000000
Bajra,Panjab,Amritsar,FEB,2023,1500000
Oats,Hariyana,Gurugram,MARCH,2023,2000000
Sattu ,Gujarat,Surat,APRIL,2023,2500000
Sooji,Tamil Nadu,Madurai,MAY,2023,3000000
Brown rice ,Telangana,Hyderabad,JUNE,2023,3500000
Wheat,West Bengol,Asansole,JULY,2023,4000000
Corn,UP,Kanpur,AUG,2023,4500000
Ragi,Maharashtra,Nagpur,JAN,2023,1000000
Bajra,Panjab,Amritsar,FEB,2023,1500000
Oats,Hariyana,Gurugram,MARCH,2023,2000000
Sattu ,Gujarat,Surat,APRIL,2023,2500000
Sooji,Tamil Nadu,Madurai,MAY,2023,3000000
Brown rice ,Telangana,Hyderabad,JUNE,2023,3500000
Wheat,West Bengol,Asansole,JULY,2023,4000000
Corn,UP,Kanpur,AUG,2023,4500000
Sooji,Tamil Nadu,Madurai,MAY,2023,3000000
Brown rice ,Telangana,Hyderabad,JUNE,2023,3500000
Wheat,West Bengol,Asansole,JULY,2023,4000000
Corn,UP,Kanpur,AUG,2023,4500000
Ragi,Maharashtra,Nagpur,JAN,2023,1000000
Brown rice ,Telangana,Hyderabad,JUNE,2023,3500000
Wheat,West Bengol,Asansole,JULY,2023,4000000
